ZIP,LAT,LON
03595,44.305,-71.497
03597,44.745,-71.382
03598,44.379,-71.629
03601,43.239,-72.286
03602,43.141,-72.348
03603,43.247,-72.384
03604,43.127,-72.377
03605,43.237,-72.185
03607,43.197,-72.268
03608,43.077,-72.396
03609,43.144,-72.446
03740,44.184,-71.979
03741,43.677,-72.007
03743,43.361,-72.327
03745,43.476,-72.334
03746,43.494,-72.257
03748,43.589,-72.132
03750,43.721,-72.185
03751,43.450,-72.092
03752,43.272,-72.101
03753,43.517,-72.149
03754,43.377,-72.138
03755,43.728,-72.143
03765,44.035,-72.050
03766,43.633,-72.235
03768,43.817,-72.094
03770,43.531,-72.259
03771,44.297,-71.981
03773,43.371,-72.203
03774,44.100,-71.985
03777,43.883,-72.034
03779,43.962,-72.001
03780,44.047,-71.989
03781,43.560,-72.299
03782,43.390,-72.093
03784,43.638,-72.306
03785,44.044,-71.912
03801,43.075,-70.805
03809,43.465,-71.200
03810,43.513,-71.295
03811,42.839,-71.167
03812,44.081,-71.297
03813,44.127,-71.061
03814,43.771,-71.182
03816,43.689,-71.259
03817,43.887,-71.229
03818,43.960,-71.274
03819,42.928,-71.120
03820,43.191,-70.888
03823,43.175,-70.941
03824,43.117,-70.919
03825,43.216,-71.039
03826,42.890,-71.131
03827,42.904,-70.996
03830,43.614,-70.994
03832,43.907,-71.048
03833,42.978,-70.988
03835,43.373,-71.083
03836,43.842,-71.075
03837,43.422,-71.336
03838,44.111,-71.223
03839,43.263,-70.991
03840,43.040,-70.846
03841,42.882,-71.182
03842,42.940,-70.837
03844,42.925,-70.886
03845,44.095,-71.121
03846,44.188,-71.156
03847,44.072,-71.124
03848,42.914,-71.074
03849,43.902,-71.130
03850,43.691,-71.298
03851,43.437,-71.025
03852,43.495,-70.986
03853,43.643,-71.283
03854,43.062,-70.717
03855,43.464,-71.152
03856,43.039,-70.968
03857,43.071,-70.947
03858,42.870,-71.046
03860,44.036,-71.117
03861,43.119,-71.007
03862,42.980,-70.829
03864,43.690,-71.103
03865,42.846,-71.093
03867,43.304,-70.988
03868,43.323,-70.934
03869,43.220,-70.843
03870,43.009,-70.758
03871,42.981,-70.777
03872,43.571,-71.043
03873,42.934,-71.184
03874,42.883,-70.861
03875,43.895,-71.189
03878,43.253,-70.888
03882,43.747,-71.042
03883,43.809,-71.320
03884,43.275,-71.170
03885,43.015,-70.903
03886,43.864,-71.296
03887,43.500,-71.074
